index,token,embedding_file
0,The email came,embeddings_output/lightweight/embeddings_lightweight.npy
1,late one afternoon,embeddings_output/lightweight/embeddings_lightweight.npy
2,as Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
3,Carmen Reed was sitting,embeddings_output/lightweight/embeddings_lightweight.npy
4,in her office,embeddings_output/lightweight/embeddings_lightweight.npy
5,filling out medical,embeddings_output/lightweight/embeddings_lightweight.npy
6,charts for the patients,embeddings_output/lightweight/embeddings_lightweight.npy
7,she had seen,embeddings_output/lightweight/embeddings_lightweight.npy
8,that day.,embeddings_output/lightweight/embeddings_lightweight.npy
9,It had been,embeddings_output/lightweight/embeddings_lightweight.npy
10,a long day at,embeddings_output/lightweight/embeddings_lightweight.npy
11,the busy clinic in,embeddings_output/lightweight/embeddings_lightweight.npy
12,"Chicago where she worked,",embeddings_output/lightweight/embeddings_lightweight.npy
13,and,embeddings_output/lightweight/embeddings_lightweight.npy
14,Carmen was tired,embeddings_output/lightweight/embeddings_lightweight.npy
15,and ready to go home.,embeddings_output/lightweight/embeddings_lightweight.npy
16,But the,embeddings_output/lightweight/embeddings_lightweight.npy
17,email's strange,embeddings_output/lightweight/embeddings_lightweight.npy
18,subject line,embeddings_output/lightweight/embeddings_lightweight.npy
19,caught her eye:,embeddings_output/lightweight/embeddings_lightweight.npy
20,"Fellow doctor,",embeddings_output/lightweight/embeddings_lightweight.npy
21,I need your,embeddings_output/lightweight/embeddings_lightweight.npy
22,help.,embeddings_output/lightweight/embeddings_lightweight.npy
23,It was sent by someone,embeddings_output/lightweight/embeddings_lightweight.npy
24,named Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
25,John Torreson.,embeddings_output/lightweight/embeddings_lightweight.npy
26,"Intrigued,",embeddings_output/lightweight/embeddings_lightweight.npy
27,Carmen began,embeddings_output/lightweight/embeddings_lightweight.npy
28,to read.,embeddings_output/lightweight/embeddings_lightweight.npy
29,Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
30,Torreson said,embeddings_output/lightweight/embeddings_lightweight.npy
31,he was a classmate of Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
32,from medical school.,embeddings_output/lightweight/embeddings_lightweight.npy
33,She did not recognize,embeddings_output/lightweight/embeddings_lightweight.npy
34,his name - but,embeddings_output/lightweight/embeddings_lightweight.npy
35,then again she was not,embeddings_output/lightweight/embeddings_lightweight.npy
36,great with names.,embeddings_output/lightweight/embeddings_lightweight.npy
37,Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
38,Torreson had,embeddings_output/lightweight/embeddings_lightweight.npy
39,spent the last two,embeddings_output/lightweight/embeddings_lightweight.npy
40,two years working,embeddings_output/lightweight/embeddings_lightweight.npy
41,in a remote part of,embeddings_output/lightweight/embeddings_lightweight.npy
42,"Peru, deep",embeddings_output/lightweight/embeddings_lightweight.npy
43,"in the Amazon jungle,",embeddings_output/lightweight/embeddings_lightweight.npy
44,where,embeddings_output/lightweight/embeddings_lightweight.npy
45,a nonprofit organization,embeddings_output/lightweight/embeddings_lightweight.npy
46,had,embeddings_output/lightweight/embeddings_lightweight.npy
47,built a small medical,embeddings_output/lightweight/embeddings_lightweight.npy
48,medical clinic for the villagers.,embeddings_output/lightweight/embeddings_lightweight.npy
49,"But, Dr.",embeddings_output/lightweight/embeddings_lightweight.npy
50,"Torreson wrote,",embeddings_output/lightweight/embeddings_lightweight.npy
51,he needed to return,embeddings_output/lightweight/embeddings_lightweight.npy
52,to the United States,embeddings_output/lightweight/embeddings_lightweight.npy
53,on very short,embeddings_output/lightweight/embeddings_lightweight.npy
54,notice.,embeddings_output/lightweight/embeddings_lightweight.npy
55,The clinic,embeddings_output/lightweight/embeddings_lightweight.npy
56,was the villagers only,embeddings_output/lightweight/embeddings_lightweight.npy
57,source of healthcare,embeddings_output/lightweight/embeddings_lightweight.npy
58,and with Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
59,"Torreson leaving,",embeddings_output/lightweight/embeddings_lightweight.npy
60,the nonprofit,embeddings_output/lightweight/embeddings_lightweight.npy
61,was threatening to,embeddings_output/lightweight/embeddings_lightweight.npy
62,close it down,embeddings_output/lightweight/embeddings_lightweight.npy
63,unless a replacement,embeddings_output/lightweight/embeddings_lightweight.npy
64,doctor could be found,embeddings_output/lightweight/embeddings_lightweight.npy
65,immediately.,embeddings_output/lightweight/embeddings_lightweight.npy
66,Even,embeddings_output/lightweight/embeddings_lightweight.npy
67,if Carmen could,embeddings_output/lightweight/embeddings_lightweight.npy
68,"spare a couple of months,",embeddings_output/lightweight/embeddings_lightweight.npy
69,it would be an,embeddings_output/lightweight/embeddings_lightweight.npy
70,enormous help.,embeddings_output/lightweight/embeddings_lightweight.npy
71,Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
72,"Torreson wrote,",embeddings_output/lightweight/embeddings_lightweight.npy
73,it breaks,embeddings_output/lightweight/embeddings_lightweight.npy
74,my heart to leave this,embeddings_output/lightweight/embeddings_lightweight.npy
75,"place, but",embeddings_output/lightweight/embeddings_lightweight.npy
76,I really hope you consider,embeddings_output/lightweight/embeddings_lightweight.npy
77,coming to work here.,embeddings_output/lightweight/embeddings_lightweight.npy
78,I think you,embeddings_output/lightweight/embeddings_lightweight.npy
79,would find it very rewarding.,embeddings_output/lightweight/embeddings_lightweight.npy
80,Later,embeddings_output/lightweight/embeddings_lightweight.npy
81,that night Carmen thought,embeddings_output/lightweight/embeddings_lightweight.npy
82,it over.,embeddings_output/lightweight/embeddings_lightweight.npy
83,There was little,embeddings_output/lightweight/embeddings_lightweight.npy
84,tying her to Chicago.,embeddings_output/lightweight/embeddings_lightweight.npy
85,She,embeddings_output/lightweight/embeddings_lightweight.npy
86,had friends,embeddings_output/lightweight/embeddings_lightweight.npy
87,"a house, her",embeddings_output/lightweight/embeddings_lightweight.npy
88,Sunday morning tennis,embeddings_output/lightweight/embeddings_lightweight.npy
89,game,embeddings_output/lightweight/embeddings_lightweight.npy
90,but all of that would be there,embeddings_output/lightweight/embeddings_lightweight.npy
91,when she got back.,embeddings_output/lightweight/embeddings_lightweight.npy
92,"Besides,",embeddings_output/lightweight/embeddings_lightweight.npy
93,"it was November,",embeddings_output/lightweight/embeddings_lightweight.npy
94,and,embeddings_output/lightweight/embeddings_lightweight.npy
95,the thought of the upcoming,embeddings_output/lightweight/embeddings_lightweight.npy
96,winter was enough,embeddings_output/lightweight/embeddings_lightweight.npy
97,to make a few months,embeddings_output/lightweight/embeddings_lightweight.npy
98,in the rainforest,embeddings_output/lightweight/embeddings_lightweight.npy
99,sound pretty appealing.,embeddings_output/lightweight/embeddings_lightweight.npy
100,She reached for her,embeddings_output/lightweight/embeddings_lightweight.npy
101,laptop and quickly,embeddings_output/lightweight/embeddings_lightweight.npy
102,typed her response,embeddings_output/lightweight/embeddings_lightweight.npy
103,hitting send,embeddings_output/lightweight/embeddings_lightweight.npy
104,before she could change,embeddings_output/lightweight/embeddings_lightweight.npy
105,her mind.,embeddings_output/lightweight/embeddings_lightweight.npy
106,A week,embeddings_output/lightweight/embeddings_lightweight.npy
107,"later, Carmen",embeddings_output/lightweight/embeddings_lightweight.npy
108,was boarding her plane,embeddings_output/lightweight/embeddings_lightweight.npy
109,at the Chicago airport.,embeddings_output/lightweight/embeddings_lightweight.npy
110,She was both,embeddings_output/lightweight/embeddings_lightweight.npy
111,nervous and excited.,embeddings_output/lightweight/embeddings_lightweight.npy
112,After a,embeddings_output/lightweight/embeddings_lightweight.npy
113,"layover in Lima,",embeddings_output/lightweight/embeddings_lightweight.npy
114,it was a,embeddings_output/lightweight/embeddings_lightweight.npy
115,short flight to Puerto,embeddings_output/lightweight/embeddings_lightweight.npy
116,"Maldonado,",embeddings_output/lightweight/embeddings_lightweight.npy
117,a small town,embeddings_output/lightweight/embeddings_lightweight.npy
118,at the edge of the Amazon,embeddings_output/lightweight/embeddings_lightweight.npy
119,jungle.,embeddings_output/lightweight/embeddings_lightweight.npy
120,As the plane,embeddings_output/lightweight/embeddings_lightweight.npy
121,"started to descend,",embeddings_output/lightweight/embeddings_lightweight.npy
122,Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
123,looked down eagerly,embeddings_output/lightweight/embeddings_lightweight.npy
124,at the landscape,embeddings_output/lightweight/embeddings_lightweight.npy
125,below,embeddings_output/lightweight/embeddings_lightweight.npy
126,a carpet of blue green,embeddings_output/lightweight/embeddings_lightweight.npy
127,"trees, with",embeddings_output/lightweight/embeddings_lightweight.npy
128,a brown river snaking,embeddings_output/lightweight/embeddings_lightweight.npy
129,through it.,embeddings_output/lightweight/embeddings_lightweight.npy
130,"It looked beautiful,",embeddings_output/lightweight/embeddings_lightweight.npy
131,and completely,embeddings_output/lightweight/embeddings_lightweight.npy
132,wild.,embeddings_output/lightweight/embeddings_lightweight.npy
133,"Stepping out onto the runway,",embeddings_output/lightweight/embeddings_lightweight.npy
134,a blast,embeddings_output/lightweight/embeddings_lightweight.npy
135,of steamy air hit,embeddings_output/lightweight/embeddings_lightweight.npy
136,"Carmen face,",embeddings_output/lightweight/embeddings_lightweight.npy
137,filling her,embeddings_output/lightweight/embeddings_lightweight.npy
138,mouth and nostrils.,embeddings_output/lightweight/embeddings_lightweight.npy
139,"Whoa,",embeddings_output/lightweight/embeddings_lightweight.npy
140,she thought to herself.,embeddings_output/lightweight/embeddings_lightweight.npy
141,Welcome to the jungle.,embeddings_output/lightweight/embeddings_lightweight.npy
142,Inside,embeddings_output/lightweight/embeddings_lightweight.npy
143,the tiny airport,embeddings_output/lightweight/embeddings_lightweight.npy
144,"terminal, a man",embeddings_output/lightweight/embeddings_lightweight.npy
145,stood clutching,embeddings_output/lightweight/embeddings_lightweight.npy
146,a piece of paper with Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
147,name on it.,embeddings_output/lightweight/embeddings_lightweight.npy
148,Antonio,embeddings_output/lightweight/embeddings_lightweight.npy
149,the man said,embeddings_output/lightweight/embeddings_lightweight.npy
150,pointing at his chest.,embeddings_output/lightweight/embeddings_lightweight.npy
151,He motioned for Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
152,to follow him.,embeddings_output/lightweight/embeddings_lightweight.npy
153,They walked out,embeddings_output/lightweight/embeddings_lightweight.npy
154,of the terminal and,embeddings_output/lightweight/embeddings_lightweight.npy
155,Carmen was once again,embeddings_output/lightweight/embeddings_lightweight.npy
156,hit by a wave,embeddings_output/lightweight/embeddings_lightweight.npy
157,of humid air.,embeddings_output/lightweight/embeddings_lightweight.npy
158,Antonio,embeddings_output/lightweight/embeddings_lightweight.npy
159,led her to a,embeddings_output/lightweight/embeddings_lightweight.npy
160,rundown motorcycle,embeddings_output/lightweight/embeddings_lightweight.npy
161,with a seat attached,embeddings_output/lightweight/embeddings_lightweight.npy
162,to the back.,embeddings_output/lightweight/embeddings_lightweight.npy
163,Carmen sat down,embeddings_output/lightweight/embeddings_lightweight.npy
164,apprehensively.,embeddings_output/lightweight/embeddings_lightweight.npy
165,But,embeddings_output/lightweight/embeddings_lightweight.npy
166,once Antonio started,embeddings_output/lightweight/embeddings_lightweight.npy
167,"driving, the breeze",embeddings_output/lightweight/embeddings_lightweight.npy
168,felt wonderful,embeddings_output/lightweight/embeddings_lightweight.npy
169,against Carmen skin.,embeddings_output/lightweight/embeddings_lightweight.npy
170,The main road,embeddings_output/lightweight/embeddings_lightweight.npy
171,through the town,embeddings_output/lightweight/embeddings_lightweight.npy
172,was full of sights,embeddings_output/lightweight/embeddings_lightweight.npy
173,and sounds,embeddings_output/lightweight/embeddings_lightweight.npy
174,children darted,embeddings_output/lightweight/embeddings_lightweight.npy
175,between the vehicles,embeddings_output/lightweight/embeddings_lightweight.npy
176,women in,embeddings_output/lightweight/embeddings_lightweight.npy
177,flipflops carrying,embeddings_output/lightweight/embeddings_lightweight.npy
178,huge baskets of,embeddings_output/lightweight/embeddings_lightweight.npy
179,goods,embeddings_output/lightweight/embeddings_lightweight.npy
180,street vendors,embeddings_output/lightweight/embeddings_lightweight.npy
181,sold giant tropical,embeddings_output/lightweight/embeddings_lightweight.npy
182,fruits that Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
183,could not name.,embeddings_output/lightweight/embeddings_lightweight.npy
184,"Soon,",embeddings_output/lightweight/embeddings_lightweight.npy
185,Antonio turned,embeddings_output/lightweight/embeddings_lightweight.npy
186,onto a side street,embeddings_output/lightweight/embeddings_lightweight.npy
187,which led down,embeddings_output/lightweight/embeddings_lightweight.npy
188,to a river.,embeddings_output/lightweight/embeddings_lightweight.npy
189,"There, a boat",embeddings_output/lightweight/embeddings_lightweight.npy
190,was waiting to take,embeddings_output/lightweight/embeddings_lightweight.npy
191,her on the final leg,embeddings_output/lightweight/embeddings_lightweight.npy
192,of the journey to,embeddings_output/lightweight/embeddings_lightweight.npy
193,the remote village.,embeddings_output/lightweight/embeddings_lightweight.npy
194,Once Carmen and,embeddings_output/lightweight/embeddings_lightweight.npy
195,her suitcase were safely,embeddings_output/lightweight/embeddings_lightweight.npy
196,"inside the boat,",embeddings_output/lightweight/embeddings_lightweight.npy
197,the driver set,embeddings_output/lightweight/embeddings_lightweight.npy
198,off on the river.,embeddings_output/lightweight/embeddings_lightweight.npy
199,By this,embeddings_output/lightweight/embeddings_lightweight.npy
200,"time, the sun was setting,",embeddings_output/lightweight/embeddings_lightweight.npy
201,and Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
202,swatted away mosquitos,embeddings_output/lightweight/embeddings_lightweight.npy
203,as the driver,embeddings_output/lightweight/embeddings_lightweight.npy
204,whistled to himself.,embeddings_output/lightweight/embeddings_lightweight.npy
205,"The water was calm,",embeddings_output/lightweight/embeddings_lightweight.npy
206,"the air still,",embeddings_output/lightweight/embeddings_lightweight.npy
207,Carmen suddenly felt,embeddings_output/lightweight/embeddings_lightweight.npy
208,very far from everything,embeddings_output/lightweight/embeddings_lightweight.npy
209,and everyone,embeddings_output/lightweight/embeddings_lightweight.npy
210,she knew.,embeddings_output/lightweight/embeddings_lightweight.npy
211,After what felt like,embeddings_output/lightweight/embeddings_lightweight.npy
212,"a very long time,",embeddings_output/lightweight/embeddings_lightweight.npy
213,the driver,embeddings_output/lightweight/embeddings_lightweight.npy
214,turned the boat toward,embeddings_output/lightweight/embeddings_lightweight.npy
215,shore.,embeddings_output/lightweight/embeddings_lightweight.npy
216,She wondered,embeddings_output/lightweight/embeddings_lightweight.npy
217,how he had recognized,embeddings_output/lightweight/embeddings_lightweight.npy
218,their destination,embeddings_output/lightweight/embeddings_lightweight.npy
219,there was no,embeddings_output/lightweight/embeddings_lightweight.npy
220,sign of civilization,embeddings_output/lightweight/embeddings_lightweight.npy
221,anywhere.,embeddings_output/lightweight/embeddings_lightweight.npy
222,Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
223,climbed awkwardly,embeddings_output/lightweight/embeddings_lightweight.npy
224,onto the muddy,embeddings_output/lightweight/embeddings_lightweight.npy
225,"riverbank,",embeddings_output/lightweight/embeddings_lightweight.npy
226,trying to keep her balance,embeddings_output/lightweight/embeddings_lightweight.npy
227,in the fading,embeddings_output/lightweight/embeddings_lightweight.npy
228,light.,embeddings_output/lightweight/embeddings_lightweight.npy
229,Just as she managed,embeddings_output/lightweight/embeddings_lightweight.npy
230,to lift her suitcase,embeddings_output/lightweight/embeddings_lightweight.npy
231,up beside,embeddings_output/lightweight/embeddings_lightweight.npy
232,"her, she",embeddings_output/lightweight/embeddings_lightweight.npy
233,looked out over,embeddings_output/lightweight/embeddings_lightweight.npy
234,her shoulder to see the,embeddings_output/lightweight/embeddings_lightweight.npy
235,driver was already,embeddings_output/lightweight/embeddings_lightweight.npy
236,motoring back up,embeddings_output/lightweight/embeddings_lightweight.npy
237,the river.,embeddings_output/lightweight/embeddings_lightweight.npy
238,Wait! she called,embeddings_output/lightweight/embeddings_lightweight.npy
239,"out, alarmed.",embeddings_output/lightweight/embeddings_lightweight.npy
240,Where do I go,embeddings_output/lightweight/embeddings_lightweight.npy
241,from here?,embeddings_output/lightweight/embeddings_lightweight.npy
242,Her voice,embeddings_output/lightweight/embeddings_lightweight.npy
243,was drowned out by,embeddings_output/lightweight/embeddings_lightweight.npy
244,the buzzing of insects,embeddings_output/lightweight/embeddings_lightweight.npy
245,and rushing,embeddings_output/lightweight/embeddings_lightweight.npy
246,of the river.,embeddings_output/lightweight/embeddings_lightweight.npy
247,She,embeddings_output/lightweight/embeddings_lightweight.npy
248,looked around,embeddings_output/lightweight/embeddings_lightweight.npy
249,nothing,embeddings_output/lightweight/embeddings_lightweight.npy
250,but dense shadowy,embeddings_output/lightweight/embeddings_lightweight.npy
251,rainforest.,embeddings_output/lightweight/embeddings_lightweight.npy
252,Just as she was about,embeddings_output/lightweight/embeddings_lightweight.npy
253,"to panic, she",embeddings_output/lightweight/embeddings_lightweight.npy
254,heard footsteps,embeddings_output/lightweight/embeddings_lightweight.npy
255,from within the brush.,embeddings_output/lightweight/embeddings_lightweight.npy
256,A man emerged,embeddings_output/lightweight/embeddings_lightweight.npy
257,"from the trees, holding",embeddings_output/lightweight/embeddings_lightweight.npy
258,a lantern.,embeddings_output/lightweight/embeddings_lightweight.npy
259,When he saw,embeddings_output/lightweight/embeddings_lightweight.npy
260,"Carmen, he smiled",embeddings_output/lightweight/embeddings_lightweight.npy
261,broadly.,embeddings_output/lightweight/embeddings_lightweight.npy
262,"Hello, Dr.",embeddings_output/lightweight/embeddings_lightweight.npy
263,Carmen- he said,embeddings_output/lightweight/embeddings_lightweight.npy
264,I'm,embeddings_output/lightweight/embeddings_lightweight.npy
265,Juan.,embeddings_output/lightweight/embeddings_lightweight.npy
266,Juan Torres.,embeddings_output/lightweight/embeddings_lightweight.npy
267,We thank you,embeddings_output/lightweight/embeddings_lightweight.npy
268,very much for coming to,embeddings_output/lightweight/embeddings_lightweight.npy
269,serve our village.,embeddings_output/lightweight/embeddings_lightweight.npy
270,Though,embeddings_output/lightweight/embeddings_lightweight.npy
271,he spoke with a heavy,embeddings_output/lightweight/embeddings_lightweight.npy
272,"accent, his English",embeddings_output/lightweight/embeddings_lightweight.npy
273,was very good.,embeddings_output/lightweight/embeddings_lightweight.npy
274,With,embeddings_output/lightweight/embeddings_lightweight.npy
275,"a sigh of relief,",embeddings_output/lightweight/embeddings_lightweight.npy
276,Carmen smiled,embeddings_output/lightweight/embeddings_lightweight.npy
277,and shook his hand.,embeddings_output/lightweight/embeddings_lightweight.npy
278,Juan led her,embeddings_output/lightweight/embeddings_lightweight.npy
279,down a narrow path,embeddings_output/lightweight/embeddings_lightweight.npy
280,through the forest.,embeddings_output/lightweight/embeddings_lightweight.npy
281,Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
282,struggled to keep,embeddings_output/lightweight/embeddings_lightweight.npy
283,"up, tugging her suitcase",embeddings_output/lightweight/embeddings_lightweight.npy
284,over the uneven,embeddings_output/lightweight/embeddings_lightweight.npy
285,ground.,embeddings_output/lightweight/embeddings_lightweight.npy
286,"Soon,",embeddings_output/lightweight/embeddings_lightweight.npy
287,they emerged into,embeddings_output/lightweight/embeddings_lightweight.npy
288,a clearing.,embeddings_output/lightweight/embeddings_lightweight.npy
289,It was nearly pitch,embeddings_output/lightweight/embeddings_lightweight.npy
290,"black now,",embeddings_output/lightweight/embeddings_lightweight.npy
291,but Carmen could make,embeddings_output/lightweight/embeddings_lightweight.npy
292,out the shapes of huts,embeddings_output/lightweight/embeddings_lightweight.npy
293,with thatched,embeddings_output/lightweight/embeddings_lightweight.npy
294,roofs.,embeddings_output/lightweight/embeddings_lightweight.npy
295,Juan ushered,embeddings_output/lightweight/embeddings_lightweight.npy
296,her towards one of,embeddings_output/lightweight/embeddings_lightweight.npy
297,them.,embeddings_output/lightweight/embeddings_lightweight.npy
298,Inside were a few,embeddings_output/lightweight/embeddings_lightweight.npy
299,pieces of simple,embeddings_output/lightweight/embeddings_lightweight.npy
300,wooden furniture,embeddings_output/lightweight/embeddings_lightweight.npy
301,"a bed frame,",embeddings_output/lightweight/embeddings_lightweight.npy
302,covered by a thin,embeddings_output/lightweight/embeddings_lightweight.npy
303,mattress and a small,embeddings_output/lightweight/embeddings_lightweight.npy
304,table.,embeddings_output/lightweight/embeddings_lightweight.npy
305,The floor was packed,embeddings_output/lightweight/embeddings_lightweight.npy
306,dirt.,embeddings_output/lightweight/embeddings_lightweight.npy
307,Juan put,embeddings_output/lightweight/embeddings_lightweight.npy
308,the lantern on the table.,embeddings_output/lightweight/embeddings_lightweight.npy
309,You must be very,embeddings_output/lightweight/embeddings_lightweight.npy
310,tired from the journey,embeddings_output/lightweight/embeddings_lightweight.npy
311,he said.,embeddings_output/lightweight/embeddings_lightweight.npy
312,You should rest now.,embeddings_output/lightweight/embeddings_lightweight.npy
313,We will see,embeddings_output/lightweight/embeddings_lightweight.npy
314,each other tomorrow.,embeddings_output/lightweight/embeddings_lightweight.npy
315,He nodded,embeddings_output/lightweight/embeddings_lightweight.npy
316,and bowed out of the,embeddings_output/lightweight/embeddings_lightweight.npy
317,hut.,embeddings_output/lightweight/embeddings_lightweight.npy
318,As soon,embeddings_output/lightweight/embeddings_lightweight.npy
319,as Carmen sat down,embeddings_output/lightweight/embeddings_lightweight.npy
320,"on the bed, she felt",embeddings_output/lightweight/embeddings_lightweight.npy
321,completely exhausted.,embeddings_output/lightweight/embeddings_lightweight.npy
322,She arranged the,embeddings_output/lightweight/embeddings_lightweight.npy
323,mosquito net around,embeddings_output/lightweight/embeddings_lightweight.npy
324,her as best she,embeddings_output/lightweight/embeddings_lightweight.npy
325,could and,embeddings_output/lightweight/embeddings_lightweight.npy
326,fell immediately into,embeddings_output/lightweight/embeddings_lightweight.npy
327,a deep sleep.,embeddings_output/lightweight/embeddings_lightweight.npy
328,Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
329,woke the next morning,embeddings_output/lightweight/embeddings_lightweight.npy
330,to sunlight,embeddings_output/lightweight/embeddings_lightweight.npy
331,streaming through the,embeddings_output/lightweight/embeddings_lightweight.npy
332,wooden slats of the,embeddings_output/lightweight/embeddings_lightweight.npy
333,hut.,embeddings_output/lightweight/embeddings_lightweight.npy
334,She had no idea,embeddings_output/lightweight/embeddings_lightweight.npy
335,how long she had slept.,embeddings_output/lightweight/embeddings_lightweight.npy
336,She,embeddings_output/lightweight/embeddings_lightweight.npy
337,propped herself up,embeddings_output/lightweight/embeddings_lightweight.npy
338,on one elbow,embeddings_output/lightweight/embeddings_lightweight.npy
339,and squinted at her,embeddings_output/lightweight/embeddings_lightweight.npy
340,surroundings.,embeddings_output/lightweight/embeddings_lightweight.npy
341,"Suddenly,",embeddings_output/lightweight/embeddings_lightweight.npy
342,she heard a rustling in,embeddings_output/lightweight/embeddings_lightweight.npy
343,the corner.,embeddings_output/lightweight/embeddings_lightweight.npy
344,A small figure,embeddings_output/lightweight/embeddings_lightweight.npy
345,"stood there, holding",embeddings_output/lightweight/embeddings_lightweight.npy
346,a broom made,embeddings_output/lightweight/embeddings_lightweight.npy
347,from Palm leaves.,embeddings_output/lightweight/embeddings_lightweight.npy
348,Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
349,nearly screeched,embeddings_output/lightweight/embeddings_lightweight.npy
350,"in shock, but",embeddings_output/lightweight/embeddings_lightweight.npy
351,stopped herself at the last,embeddings_output/lightweight/embeddings_lightweight.npy
352,"moment, so",embeddings_output/lightweight/embeddings_lightweight.npy
353,that what came out,embeddings_output/lightweight/embeddings_lightweight.npy
354,was a garbled yell.,embeddings_output/lightweight/embeddings_lightweight.npy
355,The noise,embeddings_output/lightweight/embeddings_lightweight.npy
356,frightened the girl,embeddings_output/lightweight/embeddings_lightweight.npy
357,and she jumped back.,embeddings_output/lightweight/embeddings_lightweight.npy
358,"Sorry,",embeddings_output/lightweight/embeddings_lightweight.npy
359,you startled me!,embeddings_output/lightweight/embeddings_lightweight.npy
360,Carmen said,embeddings_output/lightweight/embeddings_lightweight.npy
361,the,embeddings_output/lightweight/embeddings_lightweight.npy
362,girl continued to stare,embeddings_output/lightweight/embeddings_lightweight.npy
363,at her with huge,embeddings_output/lightweight/embeddings_lightweight.npy
364,brown eyes.,embeddings_output/lightweight/embeddings_lightweight.npy
365,She looked,embeddings_output/lightweight/embeddings_lightweight.npy
366,to be around 11,embeddings_output/lightweight/embeddings_lightweight.npy
367,12 years old.,embeddings_output/lightweight/embeddings_lightweight.npy
368,It dawned,embeddings_output/lightweight/embeddings_lightweight.npy
369,on Carmen that,embeddings_output/lightweight/embeddings_lightweight.npy
370,"[""she probably did not speak]",embeddings_output/lightweight/embeddings_lightweight.npy
371,English.,embeddings_output/lightweight/embeddings_lightweight.npy
372,Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
373,Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
374,said pointing,embeddings_output/lightweight/embeddings_lightweight.npy
375,at her chest,embeddings_output/lightweight/embeddings_lightweight.npy
376,"Alba, the",embeddings_output/lightweight/embeddings_lightweight.npy
377,girl answered pointing,embeddings_output/lightweight/embeddings_lightweight.npy
378,at her own.,embeddings_output/lightweight/embeddings_lightweight.npy
379,Juan?,embeddings_output/lightweight/embeddings_lightweight.npy
380,Carmen asked,embeddings_output/lightweight/embeddings_lightweight.npy
381,"holding up her hands,",embeddings_output/lightweight/embeddings_lightweight.npy
382,hoping,embeddings_output/lightweight/embeddings_lightweight.npy
383,the girl could lead her,embeddings_output/lightweight/embeddings_lightweight.npy
384,to the man from the night,embeddings_output/lightweight/embeddings_lightweight.npy
385,"[""before'.]",embeddings_output/lightweight/embeddings_lightweight.npy
386,"Nodding,",embeddings_output/lightweight/embeddings_lightweight.npy
387,Alba motioned,embeddings_output/lightweight/embeddings_lightweight.npy
388,for Carmen to follow,embeddings_output/lightweight/embeddings_lightweight.npy
389,"her outside,",embeddings_output/lightweight/embeddings_lightweight.npy
390,and Carmen got,embeddings_output/lightweight/embeddings_lightweight.npy
391,her first glimpse of,embeddings_output/lightweight/embeddings_lightweight.npy
392,the village in daylight.,embeddings_output/lightweight/embeddings_lightweight.npy
393,Her hut was near,embeddings_output/lightweight/embeddings_lightweight.npy
394,what appeared to be the village,embeddings_output/lightweight/embeddings_lightweight.npy
395,center.,embeddings_output/lightweight/embeddings_lightweight.npy
396,Women,embeddings_output/lightweight/embeddings_lightweight.npy
397,stood around small,embeddings_output/lightweight/embeddings_lightweight.npy
